original_id,පාලි වචනය,කෙටි ව්‍යා,පද බෙදීම,සිංහල තේරුම,සංඥා නාම විස්තරය ,ව්‍යාකරණ විස්තරය ,නිරුක්තිය
8781,අලංසමක්ඛාතු,පු,,-,,,
8782,අලංසාකච්ඡ,විශේ,,සාකච්ඡාවට සුදුසු,,,
8783,අලංසාජීව,විශේ,,සමූහ ජීවිතයට සුදුසු,,,
8686,අලක්ක,පු,,පිස්සු බල්ලා,,,
68807,අලක්ඛණික,විශේ,√ලක්ඛ්,(ව්‍යාකරණ) ව්‍යාකරණ නීතියෙන් නොදක්වන,,,
8689,අලක්ඛ්ය,න,√ලක්ඛ් (න > අ+√ලක්ඛ්+ය),අවාසනාව,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ය) | ශබ්ද වෙනස: ඛ්ය් > ක්ඛ්,
68808,අලක්ඛි,ඉ,√ලක්ඛ්,අවාසනාව,,,
8687,අලක්ඛික,විශේ,,අවාසනාවන්ත,,,
8688,අලක්ඛී 1,ඉ,√ලක්ඛ් (න > අ+√ලක්ඛ්+ඊ),අවාසනාව,අවාසනාවේ දේවතාවිය; නරක ක්‍රියාවල නිරත මිනිසුන් ගැන සතුටු වේ.,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ඊ),
68809,අලක්ඛී 2,විශේ,√ලක්ඛ්,අවාසනාවන්ත,අවාසනාවේ දේවතාවිය; නපුරු ක්‍රියාවල නිරත මිනිසුන් ගැන සතුටු වේ.,,
8690,අලගද්ද,පු,(අල+ගද්ද),ජල සර්පයා; විෂ සර්පයා,,සමාසය: කම්මධාරය,
8691,අලගද්දගවෙසී,විශේ,(අලගද්ද+ගවෙසී),ජල සර්පයෙකු සොයන,,සමාසය: දුතියා තප්පුරිස,
8692,අලගද්දත්ථික,විශේ,(අලගද්ද+අත්ථික),ජල සර්පයෙකු අවශ්‍ය කරන,,සමාසය: තතියා තප්පුරිස,
8693,අලගද්දපරියෙසනං,නි,(අලගද්ද+පරියෙසනා+අං),ජල සර්පයෙකු සෙවීම,,,
8694,අලගද්දූපමසුත්ත,න,(අලගද්ද+උපමා+සුත්ත),මජ්ඣිම නිකායේ 22 සූත්රය,,සමාසය: කම්මධාරය,
8695,අලග්ග,විශේ,√ලග්ග්,බැඳුනේ නැති,,,
68810,අලග්ගචිත්ත,විශේ,,බැඳීමකින් තොර සිතක් ඇති,,,
8696,අලග්ගන,න,√ලග්ග් (න > අ+√ලග්ග්+අන),බැඳීමකින් තොර,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (අන),
8697,අලග්ගනට්ඨෙන,නි,(අලග්ගන+අට්ඨෙන),බැඳීමකින් තොර අර්ථයෙන්,,,
69735,අලග්ගන්ත,මික්‍රි,√ලග්ග් (න > අ+ලග්ග+න්ත),ඇලෙන්නේ නැති,,පදනම: √ලග්ග්+අ > ලග්ග | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (න්ත),
68811,අලග්ගමාන,මික්‍රි,√ලග්ග්,ඇලෙන්නේ නැති,,,
68812,අලග්ගිත,අකෘ,√ලග්ග්,ඇලුනේ නැති,,,
8698,අලග්ගිත්වා,පූ,√ලග්ග්,බැඳී නොසිට,,,
8699,අලඞ්කත,අකෘ,(අලං+කත),සරසන ලද,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8700,අලඞ්කතපටියත්ත,විශේ,(අලඞ්කත+පටියත්ත),සරසන ලද හා සකසන ලද,,සමාසය: ද්වන්ද,
8701,අලඞ්කතප්පටියත්ත,විශේ,(අලඞ්කත+පටියත්ත),සරසන ලද හා සකසන ලද,,සමාසය: ද්වන්ද,
8702,අලඞ්කම්මනිය,විශේ,(අලං+කම්මනිය),ලිංගික සංසර්ගයට සුදුසු,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8703,අලඞ්කම්මනීය,විශේ,,ක්‍රියාවට සුදුසු,,,
8704,අලඞ්කරණ 1,න,,සැරසීම,,,
8705,අලඞ්කරණ 2,න,,සැරසීම,,,
8706,අලඞ්කරි,අතී,(අලං+කරි),සරසන ලද,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8707,අලඞ්කරිත්වා,පූ,(අලං+කරිත්වා),සරසා,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8708,අලඞ්කරොති,වකා,(අලං+කරොති),සරසයි,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8709,අලඞ්කාර 1,පු,(අලං+කාර),ආභරණය,,සමාසය: කම්මධාරය | ශබ්ද වෙනස: ංක් > ඞ්ක්,
8710,අලඞ්කාර 2,පු,(අලං+කාර),සැරසීම,,ශබ්ද වෙනස: ංක් > ඞ්ක්,
8711,අලඞ්කාරානුප්පදාන,න,(අලඞ්කාර+අනුප්පදාන),ආභරණ දීම,,සමාසය: ඡට්ඨී තප්පුරිස,
8712,අලඞ්කාරූපවිචාර,විශේ,(අලඞ්කාර+උපවිචාර),ආභරණ ගැන සිතීම,,,
68813,අලඞ්ඝනීය,කි,√ලඝ්,ඉක්මවිය නොහැකි,,,
8713,අලච්ඡින්න,විශේ,,මාපටැඟිලි කැඩුණු,,,
68816,අලජ්ජන,න,√ලජ්ජ්,ලැජ්ජාවක් නොමැති,,,
68817,අලජ්ජා,ඉ,√ලජ්ජ්,ලැජ්ජාව නොමැතිකම,,,
68818,අලජ්ජිතබ්බ,කි,√ලජ්ජ්,ලැජ්ජා විය නොයුතු,,,
GAP1-78,අලජ්ජිතා,ඉ,√ලජ්ජ් (න > අ+√ලජ්ජ්+ඊ+තා),ලැජ්ජාවක් නොමැතිකම,,,
8714,අලජ්ජිතාය,කි,√ලජ්ජ් (න > අ+√ලජ්ජ්+ඉතාය),ලැජ්ජා නොවිය යුතුය,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිච්ච (ඉතාය),
8715,අලජ්ජිවාද,පු,(අලජ්ජී+වාද),ලැජ්ජාවක් නොමැති' යන වචනය,,සමාසය: කම්මධාරය,
8716,අලජ්ජී,විශේ,√ලජ්ජ් (න > අ+√ලජ්ජ්+ඊ),ලැජ්ජාවක් නොමැති,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ඊ),
GAP-A1-173,අලජ්ජීනිස්සයවත්ථු,න,(අලජ්ජී+නිස්සය+වත්ථු),ලැජ්ජාවක් නොමැති භික්ෂුවකට රඳා පැවතීම ගැන කථාව,,සමාසය: ඡට්ඨී තප්පුරිස,
68814,අලජ්ජුස්සද,විශේ,,අධික ලෙස ලැජ්ජාවෙන් තොර,,,
68815,අලජ්ජුස්සන්න,විශේ,,ලැජ්ජාවෙන් තොර ජනතාවෙන් පිරි,,,
8717,අලඤ්ච,සන්ධි,(අලං+ච),සමත් වේ,,ශබ්ද වෙනස: ංච් > ඤ්ච්,
8718,අලඤ්හි,සන්ධි,(අලං+හි),සැබවින්ම සුදුසුය,,ශබ්ද වෙනස: ං > ඤ්,
8719,අලත්තක,න,,මෙයොර්,,,
8720,අලත්තකකත,විශේ,(අලත්තක+කත),මෙයොර්වලින් සරසන ලද,,සමාසය: කම්මධාරය,
8721,අලත්තකත,විශේ,,ලාක් වලින් සරසන ලද,,,
8722,අලත්ථ 1,අතී,√ලභ් (අ+ලත්ථ+අ),ලැබුවේය,,"පදනම: √ලභ්+අ > ලභ > ලත්ථ (අනියම්) | ශබ්ද වෙනස: ලභ් > ලත්ථ් (Kacc 497, 477)",
8723,අලත්ථ 2,අතී,√ලභ් (අ+ලත්ථ+අ),ඔබ ලැබුවේය,,"පදනම: √ලභ්+අ > ලභ > ලත්ථ (අනියම්) | ශබ්ද වෙනස: ලභ් > ලත්ථ් (Kacc 497, 477)",
68819,අලත්ථ 3,පූ,√ලභ්,ලබා නොගෙන,,,
8724,අලත්ථං,අතී,√ලභ් (අ+ලත්ථ+අං),මම ලැබුවෙමි,,"පදනම: √ලභ්+අ > ලභ > ලත්ථ (අනියම්) | ශබ්ද වෙනස: ලභ් > ලත්ථ් (Kacc 497, 477)",
8725,අලත්ථුං,අතී,√ලභ් (අ+ලත්ථ+උං),ඔවුහු ලැබුවෝය,,"පදනම: √ලභ්+අ > ලභ > ලත්ථ (අනියම්) | ශබ්ද වෙනස: ලභ් > ලත්ථ් (Kacc 497, 477)",
8726,අලද්ධ,අකෘ,√ලභ් (න > අ+√ලභ් > ලධ්+ත),ලද නොවූ,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ත) | ශබ්ද වෙනස: භ්ත් > ද්ධ්,
8727,අලද්ධපුබ්බත්ත,න,(න > අ+ලද්ධ+පුබ්බ+ත්ත),පෙර ලද නොවූ තත්ත්වය,,සමාසය: කම්මධාරය | නිෂ්පන්නය: තද්ධිත (ත්ත),
8728,අලද්ධබ්බ,කි,√ලභ් (න > අ+√ලභ්+තබ්බ),ලබාගත නොහැකි,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිච්ච (තබ්බ) | ශබ්ද වෙනස: භ්ත් > ද්ධ්,
8729,අලද්ධභාව,පු,(අලද්ධ+භාව),ලද නොවූ තත්ත්වය,,,
68820,අලද්ධමොක්ඛ,විශේ,(න > අ+ලද්ධ+මොක්ඛ),විමුක්තිය ලබා නොගත්,,සමාසය: කම්මධාරය > බහුබ්බීහි,
8730,අලද්ධවිපාකවාර,විශේ,(න > අ+ලද්ධ+විපාක+වාර),ප්‍රතිඵල දීමට අවස්ථාවක් ලද නොවූ,,සමාසය: කම්මධාරය,
8731,අලද්ධා,පූ,√ලභ් (න > අ+√ලභ් > ලධ්+ත්වා),ලද නොමැතිව,,ශබ්ද වෙනස: භ්ත් > ද්ධ්,
68822,අලද්ධුපචාරං,පූ,,ශිල්ප ප්‍රගුණ නොකළ,,,
8732,අලපච්චය,පු,(අල+පච්චය),(ව්‍යාකරණ) නිතර සිදුවන ක්‍රියා පද සාදන ප්‍රත්‍යය,,සමාසය: කම්මධාරය,
8733,අලපිත,අකෘ,√ලප් (න > අ+√ලප්+ඉත),නොකී,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ඉත),
8734,අලබ්භ,කි,√ලභ් (න > අ+√ලභ්+ය),ලබාගත නොහැකි,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිච්ච (ය) | ශබ්ද වෙනස: භ්ය් > බ්භ්,
8735,අලබ්භනීය,කි,√ලභ් (න > අ+ලබ්භ+අනීය),ලබාගත නොහැකි,,පදනම: √ලභ්+ය > ලබ්භ (කර්මණි) | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිච්ච (අනීය) | ශබ්ද වෙනස: භ්ය් > බ්භ්,
8736,අලබ්භනෙය්‍ය,කි,,ලබාගත නොහැකි,,,
8737,අලබ්භමාන 1,මික්‍රි,√ලභ්,ලබාගත නොවන,,,
8738,අලබ්භමාන 2,මික්‍රි,√ලභ්,නොහැකි,,,
68824,අලබ්භිය,න,√ලභ් (න > අ+ලබ්භ+ඉය),ලබාගත නොහැකි දේ,,පදනම: √ලභ්+ය > ලබ්භ (කර්මණි) | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිච්ච (ඉය) | ශබ්ද වෙනස: භ්ය් > බ්භ්,
GAP1-77,අලභන,න,√ලභ් (න > අ+√ලභ්+අන),නොලැබීම,,,
8739,අලභන්ත,මික්‍රි,√ලභ් (න > අ+ලභ+න්ත),ලබා නොගන්නා,,පදනම: √ලභ්+අ > ලභ | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (න්ත),
8740,අලභමාන,මික්‍රි,√ලභ් (න > අ+ලභ+මාන),ලබා නොගන්නා,,පදනම: √ලභ්+අ > ලභ | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (මාන),
8741,අලභි,අතී,√ලභ්,ලබාගත්තේ නැත,,,
8742,අලභිත්වා,පූ,√ලභ් (න > අ+√ලභ්+ඉත්වා),ලබාගෙන,,,
67112,අලභිස්ස,කා,√ලභ් (අ+√ලභ්+ඉස්ස),ලබන්නේය,,,
68825,අලභී,විශේ,√ලභ්,නොලබන,,,
8743,අලමත්ත,විශේ,(අලං+අත්ත),පෞද්ගලිකව සමත්,,සමාසය: කම්මධාරය > බහුබ්බීහි | ශබ්ද වෙනස: ංඅ > ම,
GAP-A1-174,අලමත්තතර,විශේ,(අලං+අත්ත+තර),වඩාත් සමත්,,,
8744,අලමත්ථ,විශේ,,සමත්,,,
8745,අලමත්ථතර,විශේ,,වඩාත් සමත්,,,
8746,අලමත්ථදසතර,විශේ,(අලං+අත්ථදස+තර),යහපත දැකීමට වඩාත් සමත්,,නිෂ්පන්නය: තද්ධිත (තර) | ශබ්ද වෙනස: ංඅ > ම,
8747,අලමත්ථවිචින්තක,විශේ,,ඉලක්කය තේරුම්ගැනීමට සමත්,,,
8748,අලමරිය,විශේ,(අලං+අරිය),උතුම් තැනැත්තෙකුට සුදුසු,,සමාසය: කම්මධාරය | ශබ්ද වෙනස: ංඅ > ම,
8749,අලමරියඤාණදස්සන,විශේ,(අලමරිය+ඤාණදස්සන),උතුම් තැනැත්තෙකුට සුදුසු දැනුම හා දර්ශනයෙන් යුත්,,සමාසය: කම්මධාරය,
8750,අලමරියඤාණදස්සනවිසෙස,පු,(අලං+අරිය+ඤාණ+දස්සන+විසෙස),උතුම් තැනැත්තෙකුට සුදුසු දැනුම හා දර්ශනයේ විශේෂත්වය,,සමාසය: කම්මධාරය | ශබ්ද වෙනස: ංඅ > ම,
8751,අලමරියසඞ්ඛාත,විශේ,(අලමරිය+සඞ්ඛාත),උතුම් තැනැත්තෙකුට සුදුසු ලෙස සලකන,,සමාසය: කම්මධාරය,
8757,අලම්පඤ්ඤ,විශේ,,තුක කිරීමට හැකි,,,
68826,අලම්බ 1,විශේ,√ලම්බ්,එල්ලෙන්නේ නැති,,,
68827,අලම්බ 2,පු,√ලම්බ්,ප්‍රමාදයක් නොමැති,,,
68828,අලම්බත්ථන,විශේ,,දෘඪ පියයුරු ඇති,,,
8758,අලම්බර,පු,ආ √ලම්බ්,බෙර වර්ගයක්,,,
8759,අලම්බිත,න,√ලම්බ්,පැකිලීමක් නැත,,,
8760,අලම්බිත්වා,පූ,√ලම්බ් (න > අ+√ලම්බ්+ඉත්වා),පැකිලීමකින් තොරව,,,
8752,අලමිදං,සන්ධි,(අලං+ඉදං),මෙය සුදුසුයි,,ශබ්ද වෙනස: ංඉ > මි,
8753,අලමෙතං,සන්ධි,(අලං+එතං),මෙය ප්‍රමාණවත්,,ශබ්ද වෙනස: ංඑ > මෙ,
8754,අලමෙතං සබ්බං,භා,(අලං+එතං+සබ්බං),-,,ශබ්ද වෙනස: ංඑ > මෙ,
8755,අලමෙත්තාවතා,සන්ධි,(අලං+එත්තාවතා),එය ප්‍රමාණවත්,,ශබ්ද වෙනස: ංඑ > මෙ,
8756,අලමෙව,සන්ධි,(අලං+එව),ප්‍රමාණවත්,,ශබ්ද වෙනස: ංඑ > මෙ,
68829,අලවණභොජී,විශේ,,ලුණු දැමූ ආහාරය අනුභව නොකරන,,,
68830,අලවනභොජන,න,,ලුණු රහිත ආහාරය,,,
8761,අලස,විශේ,√ලස් (න > අ+√ලස්+අ),අලස,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (අ),"පළමු නිරුක්තිය: අලීයති බන්ධීයතීති අලසො, මන්දකාරී. (බැඳී/ඇලී පවතින බැවින් 'අලස' (මන්දකාරී) නම් වේ)  දෙවන නිරුක්තිය: න ලසති කීළතීති අලසො. (නොක්‍රීඩා කරන බැවින්ද 'අලස' නම් වේ)"
8762,අලසක,න,√ලස් (න > අ+√ලස්+අ+ක),අජීර්ණය,කෝරඛත්තිය මිය ගිය රෝගයේ නාමය (බෙදුම් රෝගය/අපස්මාරය).,සමාසය: කම්මධාරය | නිෂ්පන්නය: තද්ධිත (ක),
8763,අලසජාතික,විශේ,(අලස+ජාතික),අලස ස්වභාවයේ,,සමාසය: කම්මධාරය > බහුබ්බීහි,
8764,අලසජාතීක,විශේ,,අලස ස්වභාවයේ,,,
GAP-A1-175,අලසත්ථෙර,පු,(අලස+ථෙර),අලස ස්ථවිරයා,,,
8765,අලසතා,ඉ,√ලස්,අලසකම,,,
68831,අලසපකතික,විශේ,,ස්වභාවයෙන් අලස,,,
68832,අලසභික්ඛු,පු,,අලස භික්ෂුව,,,
8769,අලස්වස්ස,සන්ධි,(අලසො+අස්ස),අලස තැනැත්තා... ඔහුට,,,
8766,අලසිය,විශේ,√ලස්,අලස,,,
8767,අලසුණ,න,√රස් (න > අ+√රස් > ලස්+උණ),සුදුළූනු නොවේ,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (උණ) | ශබ්ද වෙනස: ර් > ල්,
8768,අලසුණසඤ්ඤ,විශේ,(අලසුණ+සඤ්ඤ),සුදුළූනු නොවේ යැයි සලකන,,,
8833,අල්ක්ඛික,න,,අවාසනාව,,,
8834,අල්ල 1,විශේ,,තෙත්,,,
8835,අල්ල 2,විශේ,,නැවුම්,,,
8836,අල්ලකප්ප,න,(අල්ල+කප්ප),නගරයක නම,මගධයට ආසන්නයේ රටකි; බුදුරජාණන් වහන්සේගේ පිරිනිවනට පසු ධාතූන් වහන්සේගෙන් කොටසක් ලබාගෙන සෑයක් ඉදිකළහ. අල්ලකප්ප රජු වේථදීපක රජු සමඟ මිත්‍රත්වයෙන් රාජ්‍යයන් අත්හැර හිමාලයේ තපස්වීන් වූහ.,,
8837,අල්ලකප්පක,විශේ,(අල්ල+කප්ප+ක),අල්ලකප්පයෙන් වූ,,නිෂ්පන්නය: තද්ධිත (ක),
GAP-A1-179,අල්ලකප්පතාපස,පු,(අල්ලකප්ප+තාපස),අල්ලකප්ප තපස්වියා,,,
GAP-A1-177,අල්ලකප්පරට්ඨ,න,(අල්ලකප්ප+රට්ඨ),අල්ලකප්ප රාජ්යය,,,
GAP-A1-178,අල්ලකප්පරාජ,පු,(අල්ලකප්ප+රාජා),අල්ලකප්ප රජු,,,
67482,අල්ලකුසමුට්ඨි,ඉ,(අල්ල+කුස+මුට්ඨි),තෙත් කුසතණ මිටියක්,,සමාසය: ඡට්ඨී තප්පුරිස,
8838,අල්ලකෙස,විශේ,(අල්ල+කෙස),තෙත් කෙස් ඇති,,සමාසය: කම්මධාරය > බහුබ්බීහි,
GAP1-79,අල්ලචම්ම,න,(අල්ල+චම්ම),තෙත් සම,,සමාසය: කම්මධාරය,
8839,අල්ලචීවර,න,(අල්ල+චීවර),තෙත් සිවුර,,,
8840,අල්ලදාරු,න,,නැවුම් ලීය,,,
8841,අල්ලමත්තිකාපුඤ්ජ,පු,(අල්ල+මත්තිකා+පුඤ්ජ),තෙත් මැටි ගොඩ,,සමාසය: ඡට්ඨී තප්පුරිස,
8844,අල්ලවත්ථ,විශේ,(අල්ල+වත්ථ),තෙත් ඇඳුම් ඇති,,සමාසය: කම්මධාරය > බහුබ්බීහි,
8842,අල්ලසාකභක්ඛ,විශේ,(අල්ල+සාක+භක්ඛ),නැවුම් කොළ අනුභව කරන,,,
8843,අල්ලසිර,විශේ,(අල්ල+සිර),තෙත් හිස ඇති,,සමාසය: කම්මධාරය,
8845,අල්ලාප,පු,,සංවාදය,,,
8846,අල්ලිකා,ඉ,,අල්ලි ශාකයෙන් ලද සායම,,,
8847,අල්ලියති,වකා,ආ √ලී,සමීපවේ,,,
8848,අල්ලීන 1.1,අකෘ,ආ √ලී (ආ+√ලී+න),ඇලුනු,,නිෂ්පන්නය: කිත (න) | ශබ්ද වෙනස: ආල් > අල්ල්,
8849,අල්ලීන 1.2,අකෘ,ආ √ලී,ඇලුනු,,,
8850,අල්ලීන 2.1,අකෘ,√ලී,රැකවරණය සඳහා රඳා සිටින,,,
8851,අල්ලීනමංස,න,(අල්ලීන+මංස),ඇලුනු මාංශය,,සමාසය: කම්මධාරය,
8852,අල්ලීයති,වකා,ආ √ලී (ආ+ලීය+ති),ඇලෙයි,,පදනම: √ලී+ය > ලීය | ශබ්ද වෙනස: ආල් > අල්ල්,
8853,අල්ලීයන 1,න,ආ √ලී (ආ+ලීය+අන),ඇලීම,,පදනම: √ලී+ය > ලීය | නිෂ්පන්නය: කිත (අන) | ශබ්ද වෙනස: ආල් > අල්ල්,
70755,අල්ලීයන 2,න,ආ √ලී (ආ+ලීය+අන),රඳා පවතින,,පදනම: √ලී+ය > ලීය | නිෂ්පන්නය: කිත (අන) | ශබ්ද වෙනස: ආල් > අල්ල්,
73632,අල්ලීයාපෙති,වකා,ආ √ලී (ආ+ලීයාපෙ+ති),ඇලෙන්නට සලස්වයි,,පදනම: √ලී+ආපෙ > ලීයාපෙ (ප්‍රයෝජක) | ශබ්ද වෙනස: ආල් > අල්ල්,
8789,අලාත 1,න,,ගිනි පුළිඟුව,විදේහ රටේ අඞ්ගති රජුගේ අමාත්‍යවරයෙකි; රජු වැරදි ආජීවක තපස්වියෙකු වෙත යොමු කිරීමට උපදෙස් දුන්නේය.,,
70785,අලාත 2,පු,,අඞ්ගති රජුගේ අමාත්‍යවරයෙකුගේ නම,විදේහ රජු අඞ්ගතිගේ අමාත්‍යවරයා; වැරදි ආජීවක තපස්වියෙකු වෙත රජු යොමු කිරීමට උපදෙස් දුන්නේය.,,
8790,අලාපු,න,,දිගු සුදු කුඹළං,,,
8791,අලාබු 1,න,,කුඹළං,,,
8792,අලාබු 2,පු,,කුඹළං,,,
8793,අලාබුලොම,පු,(අලාබු+ලොම),කුඹළං ලොම්,,,
8794,අලාබුලොමස,විශේ,(අලාබු+ලොමස),කුඹළං වැනි ලොම් සහිත,,සමාසය: කම්මධාරය > බහුබ්බීහි,
8795,අලාභ 1,පු,√ලභ් (න > අ+√ලභ් > ලාභ්+*අ),නොලැබීම,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (*අ) | ශබ්ද වෙනස: අ > ආ,
8796,අලාභ 2,පු,√ලභ් (න > අ+√ලභ් > ලාභ්+*අ),අලාභය,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (*අ) | ශබ්ද වෙනස: අ > ආ,
8797,අලාභක,න,,කිසිවක් නොලැබීම,,,
8798,අලාභා,නි,√ලභ් (න > අ+√ලභ් > ලාභ්+*ආ),එය අලාභයකි!,,ශබ්ද වෙනස: අ > ආ,
8799,අලාභිතා,ඉ,√ලභ්,අත්පත් නොකරගැනීම,,,
8800,අලාභී,විශේ,√ලභ්,ලබාගන්නේ නැති,,,
8801,අලාභෙසි,අතී,√ලභ් (අ+ලාභෙ+සි),ලැබුවේය,,පදනම: √ලභ්+*එ > ලාභෙ (ප්‍රයෝජක),
8802,අලාමක,විශේ,(න > අ+ලාමක),පහත් නොවූ,,සමාසය: කම්මධාරය,
68833,අලායිත,අකෘ,√ලු,කපන ලද නොවූ,,,
68834,අලාලාමුඛ,විශේ,,ගින්නෙන් නොකැඩූ,,,
8803,අලි 1,පු,,මී මැස්සා,,,
8804,අලි 2,පු,,ගෝනුස්සා,,,
8805,අලික 1,න,,බොරුව,,,
8806,අලික 2,විශේ,,අසත්‍ය,,,
8807,අලිකවාදී,පු,(අලික+වාදී),බොරුකාරයා,,සමාසය: දුතියා තප්පුරිස,
68835,අලිඛිත,අකෘ,√ලිඛ්,ලියන ලද නොවූ,,,
68836,අලිඛිතපොත්ථක,පු,,නොලියූ පොත,,,
68837,අලිඞ්ග,විශේ,√ලිඞ්ග්,(ව්‍යාකරණ) ලිංගයක් නොමැති,,,
68838,අලිඞ්ගභෙද,විශේ,,(ව්‍යාකරණ) ලිංග වෙනසක් නොමැති,,,
8808,අලිත්ත,අකෘ,√ලිප් (න > අ+√ලිප්+ත),ආලේප නොකළ,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ත) | ශබ්ද වෙනස: ප්ත් > ත්ත්,
69519,අලිත්තමුපලිම්පති,වකා,(අලිත්තං+උපලිම්පති),ආලේප නොකළ දේ ආලේප කරයි,,ශබ්ද වෙනස: ංඋ > මු,
8809,අලිප්පමාන,මික්‍රි,√ලිප් (න > අ+ලිප්ප+මාන),අපිරිසිදු නොවූ,,පදනම: √ලිප්+ය > ලිප්ප (කර්මණි) | සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (මාන) | ශබ්ද වෙනස: ප්ය් > ප්ප්,
8810,අලිම්පෙසි 1.1,අතී,√දීප්,ගිනි තැබුවේය,,,
8811,අලිම්පෙසි 2.1,අතී,ආ √ලිප්,ආලේප කළේය,,,
8812,අලීන 1,අකෘ,√ලී (න > අ+√ලී+න),සක්‍රීය,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (න),
8813,අලීන 2,අකෘ,√ලී (න > අ+√ලී+න),ඇලුනේ නැති,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (න),
8814,අලීනචිත්ත 1,න,(න > අ+ලීන+චිත්ත),සක්‍රීය සිත,බරණැස් රජු; බෝධිසත්තයාණන් වහන්සේගේ පෙර ජාතියකි. ජනතාවගේ හදවත් ජයගැනීමට උපන් නිසා මෙසේ නම් විය. වයස හතේදී රජකම ලැබීය.,සමාසය: කම්මධාරය,
67383,අලීනචිත්ත 2,විශේ,(න > අ+ලීන+චිත්ත),සක්‍රීය සිතක් ඇති,බෝධිසත්ත බරණැස් රජු ලෙස; ජනතාවගේ හදවත් දිනා ගැනීම නිසා මෙසේ නම් විය. වයස හතේදී රාජ්‍යත්වයට පත් වූයේය.,සමාසය: කම්මධාරය > බහුබ්බීහි,
8815,අලුත,විශේ,,අගණන,,,
8816,අලුත්ත,අකෘ,√ලුප් (න > අ+√ලුප්+ත),(ව්‍යාකරණ) ලෝප නොවූ,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ත) | ශබ්ද වෙනස: ප්ත් > ත්ත්,
8817,අලුත්තසමාස,පු,(අලුත්ත+සමාස),(ව්‍යාකරණ) ලෝප නොවූ විභක්තිය,,සමාසය: කම්මධාරය,
8818,අලුද්ද,විශේ,(න > අ+ලුද්ද),දරුණු නොවූ,,සමාසය: කම්මධාරය,
8819,අලුද්ධ,පු,√ලුභ් (න > අ+√ලුභ්+ත),ලෝභී නොවූ,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ත) | ශබ්ද වෙනස: භ්ත් > ද්ධ්,
GAP-A1-181,අලුද්ධචිත්ත,විශේ,(අලුද්ධ+චිත්ත),ලෝභයෙන් තොර සිතින් යුත්,,,
68842,අලුබ්භන,න,√ලුභ්,ලෝභී නොවීම,,,
68843,අලුබ්භනක,විශේ,√ලුභ්,ලෝභී නොවන,,,
68844,අලුබ්භනා,ඉ,√ලුභ්,ලෝභී නොවීම,,,
67565,අලුබ්භිත,අකෘ,√ලුභ්,ලෝභී නොවූ,,,
67566,අලුබ්භිතත්ත,න,√ලුභ්,ලෝභී නොවීමේ බව,,,
68841,අලුලිත,අකෘ,√ලුළ්,නොසෙල්වුනු,,,
68839,අලුළිත,අකෘ,√ලුළ් (න > අ+√ලුළ්+ඉත),නොසෙල්වුනු,,සමාසය: කම්මධාරය | නිෂ්පන්නය: කිත (ඉත),
68845,අලූඛ,විශේ,,රළු නොවූ,,,
8820,අලෙණ,විශේ,√ලී (න > අ+√ලී > ලෙ+*අණ),ආරක්ෂිත නොවූ,,සමාසය: කම්මධාරය > බහුබ්බීහි | නිෂ්පන්නය: කිත (*අණ) | ශබ්ද වෙනස: ඊ > එ,
71223,අලෙණදස්සී,විශේ,(අලෙණ+දස්සී),ආරක්ෂිත ස්ථානය නොදකින,,සමාසය: දුතියා තප්පුරිස,
68846,අලෙප,පු,√ලිප්,ආවරණයක් නොවේ,,,
71173,අලොචයි,අතී,√ලුඤ්ච් (අ+ලොචය+ඉ),උදුරාගත්තේය,,පදනම: √ලුඤ්ච්+*අය > ලොචය (ප්‍රයෝජක),
68847,අලොණ,විශේ,,ලුණු නොමැති,,,
