Word,Meaning
cushioned,ගොණු ගැසුණු
cushioning,කුසින් කිරීම | තිලියම
cushy,පහසු | සැපපහසු | සැපපහසු ඇති
cusp,අඩසඳෙහි කොණ | කලාකෝණය | තුඩ | තුණ්ඩය | නිශිතාග්‍රය | වකුටු වූ කොණ | ශිඛරය
cuspate,සතුණ්ඩ
cuspidal,තුඩැති
cuspidate,තුණ්ඩාග්‍ර
cuss,පුද්ගලයා | බැන වදිනවා | ශාප කරනවා | ශාපය
cussed,කාලකණ්ණි | දඩබ්බර | මුරණ්ඩු
cussedness,මුරණ්ඩුකම
custard,සීනි සහ කිරි යොදා සාදන රස කෑමක් | සීනි සහ කිරි යොදා සාදන රස කෑමක්
custard-apple,අනෝනා
custodial,අත්අඩංගු | හිර අඩස්සි
custodian,අත්භාරකරු | ආරක්ෂකයා | පාලකයා | බාරකාරයා | භාරකාරයා
custody,අත්භාරය | ආරක්ෂාව | භාරය | රැකවරණය | රැකවල | සිරභාරය | හිරඅඩස්සිය | හිරබාරය
custom,ක්‍රමය | චාරිත්‍ර | චාරිත්‍රය | පුරුද්ද | භාවිතාව | රීතිය | ව්‍යවහාරය | වෘත්ත | සිරිත | සිරිත්
customary,අනුසිරිත් | චාරිත්‍රානුකූල | පුරුදු | ව්‍යවහාර | සිරිතක් වශයෙන් | සිරිත් පරිදි
customer,අනුග්‍රාහකයා | ගණුදෙනුකරු | ගනුදෙනුකරු | ගනුදෙනුකරුවා | ගනුදෙනුකාරයා | පාරිභෝගිකයා | හාදයා
customs,චාරිත්‍ර | තීරුව | මූදුබද්ද | රේගු | රේගුව | ශුල්කය | සිරිත්
cut,අඩු කරනවා | අඩු කිරීම | ඉවත්ව යනවා | කත්තුව | කපනලද පෙත්ත | කපනවා | කප්පාදු කරනවා | කපා හරිනවා | කැපීම | කැපුම | කැපෙනවා | කොට කරනවා | කොටනවා | කොටස | ඡින්න | තුවාලය | පහර | පැන යනවා | පීඩා කරනවා | මගහැර සිටිනවා | මට්ටම් කරනවා | ලූප්ත | ලොප් කරනවා | විච්න්න | විනිවිද යනවා | විවරය | වෙන් කරනවා | වෙන් කිරීම | වේගයෙන් පහරක් ගසනවා | වේදනා කරනවා | සිඳ ලනවා | සිඳලීම | සිඳිනවා | සුන්
cut-in,පිවිසවනවා
cut-off,කපා හරිනවා | කපා හැරීම | වාරණය
cut-off-procedure,ලුහුඩුකම් ක්‍රියාවලිය
cut-offs,දුනු විල්
cut-out,කටව්ටය | කටවුටය | කපා හරිනය | නතර වීම | නියමිත | බාධකය | යෝග්‍ය | වාරකය | සූදානම්
cut-price,අඩු මිල
cut-pure,ගැටකපන්නා
cut-purse,ගැට කපන්නා | ගැටකපන්නා | පසුම්බි සොරා
cut-throat,ද්‍රෝහියා | මිනීමරුවා
cut-worm,දළඹු ජාතියක්
cutaneous,චර්මීය | ත්වචීය | හම පිළිබඳ වූ | හමෙහි වූ
cutanit,කටැනිට්
cutaway,යමක අභ්‍යන්තරය පෙනෙන සේ ඇඳි සැලැස්ම | යමක් අභ්‍යන්තරය පෙනෙන සේ ඇඳි සැලැස්ම
cutback,අඩුකිරීම
cutch,කයිප්පු
cute,කපටි | දක්ෂ | ප්‍රිය උපදවන | ලක්ෂණ | ලස්සණ | හපන් | හැඩ
cuticle,උච්චර්මය | ත්වචකය | නියමහ | පිට සිවිය | පිටසම | සුඹුළුව | හෝහම
cuticular,උච්චර්මීය | සිවියට අයත්
cuticularisation,කියුටිනීභවනය
cutin,කියුටින්
cutinisation,කියුටිනීභවනය
cutis,ත්වචය | සිරුරෙහි පියවි සම
cutlass,කොට පළල් කඩුව
cutler,පිහියා සාදන්නා | ශස්ත්‍රකාරයා | ශාස්ත්‍රකාරයා
cutlery,හැඳි ගෑරුප්පු
cutlet,කට්ලිස්
cutocellulose,කියුටොසෙලියුලෝස්
cutout,කටව්ටය | කපා හරිනය | වහරුව
cuttage,දඩු වගාව
cutter,කපනය | කපන්නා | කර්තකය
cutthroat,ද්‍රෝහී | මිනීමරු
cutting,කපන | කැපීම | කැපුම | කැපෙන | කැබැල්ල | ඡේදක | ඡේදය | බෑම | මිරියට කැපූ පාර | රිදවන | සමුච්ඡේදක
cuttle-fish,දැල්ලා | පොතුදැල්ලා
cuttlefish,දැල්ලා
cwt,හොණ්ඩරය
cyamalide,සයමලයිඩ්
cyan,මයුර නිල | සියන් වර්ණය
cyanaeus,ආශ්‍යාම
cyanagas,සයනොගෑස්
cyanamide,සයනමයිඩ්
cyanate,සයනේට්
cyaneous,ආශ්‍යාම
cyanide,උග්‍රවිෂ සහිත රසායන ද්‍රව්‍යයක් | සයනයිඩ්
cyaniding,සයනයිඩ් දැඩියම
cyanogen,වහා ගිනිගන්නා විෂවායුවක් | සයනජන්
cyanogenesis,සයනෝජනනය
cyanophilous,ආශ්‍යාමකාමී
cyanophorica,සයනොධර
cyanophyceous,සයනොපීසියාකාර
cyanophycin,සයනොපයිසින්
cyanophyll,සයනොපිල්
cyanosis,නීලවර්ණතාව | සම නිල්පැහැ වීම | සයිනොසිස්
cyathiform,චෂකාකාර
cyathium,චෂකය
cyathoid,චෂකාකාර
cybenetics,සයිබනටික් ක්‍රමය
cybernatics,සත්‍යාන්ත්‍රික පාලනය | සයිබනෙතිකය
cybernetics,සත්‍යාන්ත්‍රික විද්‍යාව | සතුන් හා යන්ත්‍ර අතර පණිවිඩ හුවමාරු අධ්‍යයන විද්‍යාව | සයිබනතිකය | සයිබර්නටික්ස්
cycadaceous,සීකස් වැනි
cycadean,සීකස් වැනි
cycadophyte,සීකඩොශාකය
cyclamate,කෘතිම වර්ණක
cyclamen,මල්ගස් වෙසෙසක්
cyclamine,සයික්ලමීන්
cycle,කාලක්‍රමය | චක්‍රය | පාගන රථය | බයිසිකලය | බයිසිකලය පදිනවා | බයිසිකල් පදිනවා | යුගය | වක්‍රය | සන්තානය | සයිකලය
cyclic,චක්‍රවත් | චක්‍රීය | වක්‍ර | වෘත්ත
cyclical,චක්‍රවත් | චක්‍රිය | චක්‍රීය | චාක්‍රික
cyclically,චක්‍රීය වශයෙන්
cyclide,චක්‍රකය
cyclist,පාපැදිකරු | බයිසිකල්කරුවා | සයිකලය පදින්නා
cycloid,චක්‍රාභය
cyclometer,වක්‍රමානය
cyclone,කුණාටුව | චක්‍රවාතය | වා සුළිය | වාසුළිය | සුළි සුළඟ | සුළිසුළඟ
cyclonic,විනාශදායක | සුළි සුළඟක් වැනි
cyclopaedia,විශ්වකෝෂය
cyclopaedic,අතිවිශාරද
cyclopean,මාකුරු
cyclophoria,චක්‍රී චලනය
cycloplegia,පක්ෂ්මඝාතය
cycloplegic,චක්කසාතක
cyclopropane,සයික්ලෝප්‍රොපේන්
cyclops,එක් ඇසක් පමණක් ඇති යෝධයා | සයික්ලෝපස්
cyclorama,ගගනිකාව | චක්‍රීය දර්ශය
cyclosis,චක්‍රණය | වක්සරණය
cyclostat,චක්‍ර ස්ථිතිකය
cyclostyle,බහු පිටපත් සාදනය | බහුපිටපත් ගන්නවා | බහුපිටපත් සාදනය | බහුපිටපත් සාදනවා
cyclosymmetry,චාක්‍රික සමමිතිය
cyclothymia,චක්‍රීය කුප්තිය
cyclotomic,චක්‍රඡේද
cyclotomy,චක්‍රඡේදය
cyclotron,සයික්ලොට්‍රෝනය
cygnet,හංස පැටියා
cylinder,ගෝල නාලිකාව | බේලනය | වර්තුලය | සිලින්ඩරය
cylindraceous,සිලින්ඩරය වැනි
cylindrical,ගෝල නලිකාකාර | සිලින්ඩරාකාර
cylindroid,සිලින්ඩරාභය
cymag,සයිමැග්
cymbal,අත්තාලම | අත්තාළම | කංස | කංසතාල | කංසතාළ | කයිතාලම | කයිතාළම | තාලම්පට | නුරු
cymbiform,ඔරු හැඩ
cynic,කිසිත් නුරුස්සන තැනැත්තා | ගොරකයා | නින්දාශීලී තැනැත්තා | ශ්වනයා | සර්වදෝෂදර්ශියා
cynical,කිසිත් නුරුස්නා | නින්දාශීලී | සර්වදෝෂදර්ශී
cynicism,කිසිත් නුරුස්නා ස්වභාවය | නරුමකම | නරුමවාදය | ශ්වනවාදයා
cynosure,ජ්‍යෝජිතිරථය | ධෘවය | සර්වදෘෂ්ටිකේන්ද්‍රය | සැමගේ සිත් ඇදගන්නා දෙය | සැමගේ සිත් ඇදගන්නා පුද්ගලයා
cyphella,සිපෙලය
cypher,අංකය | ඉලක්කම | ඉලක්කම් ලියනවා | ගණන් ලියනවා | බිංදුව | බින්දුව | රහස් අකුරෙන් ලියනවා | රහස් ලේඛන විධිය | වැඩකට නැති තැනැත්තා | වැඩකට නැති දේ | ශූන්‍යය | සංකේතය
cypress,කිහිරි | දේවදාර වැනි ගස් ජාතියක් | සයිප්‍රස් ගස
cypriot,සයිප්‍රස්හී වැසියා
cypsela,සිප්සෙලාව
cyrenaics,සිරනයිකයෝ
cyrillic,ස්ලවොනික් භාෂා ලියන අක්ෂර මාලාව | සිරිලික් හෝඩිය
cyst,කොෂ්ඨය | කෝෂ්ඨය | විසප්පු ගෙඩිය
cystein,සිස්ටෙයින්
cystic,කෝෂ්ඨප්‍රදානය හා සම්බන්ධ
cystin,සිස්ටීන්
cystitis,කෝෂඨප්‍රදාහය | කෝෂ්ඨ දාහය
cystocarp,සිස්ටොකාපය
cystocele,කෝෂ්ඨ පුංජය
cystolith,කෝෂ්ඨාශ්මය
cystolithic,කෝෂ්ඨාශ්මිය
cystoscope,කෝෂ්ඨෙක්ෂය | සිස්ටොස්කෝපය
cystoscopy,ආශයීක්ෂණය
cytase,සයිටේස්
cytisine,සයිටිසීන්
cytoblast,සයිටොබ්ලාස්ටය
cytochemistry,සෛල රසායන විද්‍යාව | සෛල රසායනය | සෛලරසායන විද්‍යාව
cytochrome,සයිටෝක්‍රෝම්
cytoclastic,සෛලනාශක
cytocoagulase,සයිටොකොඇගියුලේස්
cytogenetic,සෛජලනක
cytokinesis,සෛලප්ලාස්ම විභාජනය
cytological,සෛල විද්‍යාත්මක | සෛලීය
cytology,ව සෛල විද්‍යාව | සයිටවේදය | සෛල විද්‍යාව
cytolysis,සෛලජාරණය
cytolytic,සෛල ජාරක
cytoplasm,ඝන | සයිටොප්ලාස්මය | සෛලප්ලාස්මය
czar,රුසියාවේ රජ | රුසියාවේ රජ පෙළපත | සාර්
czech,චෙකොස්ලොවැකියානුවා
czechoslovak,චෙකොස්ලොවැකියානුවා
d,සංගීතයේ ස්වරයක්
d-day,හරිම දිනය
d.a.v.c,පැමැයු ස්වයංක්‍රියා පරිමා පාලකය
d.b.,ඩෙසිබෙල
d.c,සරල ධාරාව
d.o.m,නඩත්තු රහිත සැලසුම් කිරීම
d.p.d.t.s.,දෙදූ දෙවිසි ස්විච්වය
d.p.n.,දියමන්ති පිරමිඩ දෘඩතා අංකය
d.s.c.,දෙ සේද වැසි
d.v.,ද්විත්ව කම්පනය
dab,අතුල්ලනවා | කුඩා මත්ස්‍ය වර්ගයක් | තෙත මාත්තු කරනවා | මෘදු පහර | මොළොක් වූ කැටිය | මොළොක්වූ ද්‍රව්‍ය පිඬ | යන්තම් ගානවා | හෙමින් ගානවා
dabber,තවරනය
dabble,යන්තමින් කරනවා | යමක් අතපත ගානවා
dabbler,නමට කරන්නා | බොරුකාරයා
dabchick,ජලචර පක්ෂියෙක්
dace,මිරිදිය මත්ස්‍යයෙක්
dacha,රුසියාවේ ගම්බද නිවහන
dachshund,බලු
dacoit,මංකොල්ලකාරයා
dacoity,මංකොල්ලකෑම
dacryoideus,පේරහැඩ
dactylinus,ආංගුලික
dactylology,භස්තමුද්‍රා ශාස්ත්‍රය
dactylomancy,අංගුලි පේනය
dad,තාත්තා
dada,ඩාඩා | තාත්තා
dadaism,ඩාඩා වාදය
daddy,තාත්තා
dado,අඩිය | දදුව | දේදුව | ප්‍රතිමාවක පහළ කොටස | බොරදම
dadrk,අන්ධකාර
daffadowndilly,මානෙල් වැනි කහපාට මල් වර්ගයක්
daffodil,මානෙල් වැනි කහපාට මල් වර්ගයක්
daffy,විකාර ගති ඇති
daft,ඔල්මාද ගති ඇති | තකතීරු
dag,ඩැග්
dagaba,දාගැබ
dagger,අධොලිපි ලකුණ | අනින කොට කඩුව | කිරිච්වය | සිරිය
daggger,කිරිච්වය
dago,කාපිරියා
dagoba,දාගැබ
dagoda,දාගැබ
daguerrotype,ඩැගීයෝ වත්‍රය | තහඩුවක නිර්මිත පින්තූරය | රසායනයන් ආලේප කර තහඩුවක නිර්මිත පින්තූරය
dahlia,පුෂ්ප වර්ගයක්
dahline,ඩේලීන්
dahmenite,ඩාමනයිට්
daily,දිනපතා | දිනපතා පත්‍රය | දිනපතා පළ වන පත්‍රය | දෛනික | දෛනිකය | සැමදා
daintiness,මෘදුබව | රසවත් බව | ලාලිත්‍යය
dainty,කදිම | කෝමල | පැහැදවීමට දුෂ්කර | මධුර | රස කෑම බීම | රසවත්
daiquiri,මිශ්‍ර පානයක්
dairy,කිරි පට්ටිය | කිරිපට්ටිය | කිරිහල
dairymaid,ගෝපී
dairyman,කිරිකාරයා
dais,උස් ආසනය | කුඩා වේදිකාව | පෝරුව
daisy,කුඩා මල් වර්ගයක්
dale,දෙණිය | මිටියාවත
dalembertian,ඩැලම්බයානු
dalliance,ප්‍රමාදය | විලාසය | සුරතල
dally,නිකරුණේ කල් යවනවා | සුරතල් කරනවා | සෙල්ලමින් කල් යවනවා
dalmatian,කළු පුල්ලි ඇති සුනඛ විශේෂයක්
daltonism,ඩෝල්ටන් වාදය
dam,අමුණ | අවුණ | ආවරණය | දෙන | නියර | බැම්ම | මෘගධෙනුව | වතුර බඳිනවා | වේල්ල | වේලි බඳිනවා
damage,අලාබය | අලාභ කරනවා | අලාභය | නාශය | පාඩු කරනවා | පාඩුව | වැඩක් දෙනවා | හානි කරනවා | හානිය
damaged,අතිශය රක්තවර්ණ | අබලි | නාස්ති වූ | පලුදු වූ | රතු විල්ලූද
damages,අලාභ | නාශ වන්දි | හානි වන්දි | හානිවන්දි
damaging,අවාසි
damascene,රනින් හා රිදීයෙන් | ලෝහාලංකරණය
damask,අතිශය රක්තවර්ණ | රතු විල්ලූද
dame,ආර්යාව | ගෑනී | ස්ත්‍රී
dame-school,ස්ත්‍රියක් පාලනය කරන පෞද්ගලික පාසල
dammar,ඩැමා
damn,ගර්හා කරනවා | නිරයට පත් කරනවා | ශාප කරනවා | ශාපය
damnable,අතිදුෂ්ට | නින්දනීය | හිරිහැර සහිත
damnation,ගර්හාව | සදාකාලික නිරයට පැමිණවීම | හෙනගහපි
damnatory,නින්දා එළවන
damned,අවලම් | කාලකන්නි | නීච | ශාප ලත්
damnify,නාශය කිරීම
damning,වරද තහවුරු කරන
damp,අඩු කරනවා | අධෛර්ය කරනවා | ආර්ද්‍ර | තෙත | තෙතමන | තෙතමනය | තෙත් | තෙත් කරනවා | තෙත් ගතිය | තෙත් වූ | තෙමනවා | තෙමුණු | නිවනවා | සාර්ද්‍ර
dampcourse,තෙතමනය වැළැක්වීමට අත්තිවාරමට යොදන විශේෂ ගල්ලෑල
damped,පරිමන්දිත
dampen,තෙත් කරනවා
damper,පරිමන්දකය
damping,තෙත් කිරීම | පරිමන්දනය | පරිමන්දනය කිරීම | මුල් තැම්බීම
dampish,මඳක් තෙත් වූ
dampness,තෙතමන | තෙත්ගතිය | දියසීරාව | රාවරය | සීරාව
dampproof,තෙතමනය වළක්වන
dams,හරස් පොලු
damsel,තරුණිය | යුවතිය | ලමිස්සී | ළමිස්සී
damson,කුඩා පලතුරු වර්ගයක්
danaite,ඩේනයිට්
danburite,ඩැන්බියුරයිට්
dance,නටනවා | නටවනවා | නර්තනය | නැටවීම | නැටිල්ල | නැටුම | නැයුම | පාලිය | බාල | රංග | රංගය | රඟ | රඟදෙනවා | රඟනවා | රැඟුම
dancer,නර්තකයා | නළඟන | නළුවා | නැට්ටුක්කාරයා | නැට්ටුවා
dancing,නර්තනය | නැටීම | රංගන | සරඟ
dandelion,කහපාට මල් ඇති ගස් වර්ගයක්
dander,කෝපය | තරහ
dandify,ජේත්තු කරනවා
dandle,වඩාගෙන සුරතල් කරනවා
dandrite,අනුශාඛිකාව
dandruff,ඉස්සොරි | ඉස්හොරි
dandy,ඉතා හොඳ දේ | ඉස්තරම් | ජේත්තු | ජේත්තුකාරයා | ජේත්තුව
dandyism,ජැන්ඩිකම
dane,ඩෙන්මාර්ක් රටේ වැසියා
danelite,ඩේනලයිට්
danger,අනතුර | අන්තරායය | ආදීනව | උවදුර | භය | විඝ්න | සංකටය | සැකය
dangerous,අනතුරුදායක | අන්තරාදායක | අන්තරායකර | අන්තරායකාරී | අන්තරායදායක | ත්‍රාසජනක | නපුරු | භයානක | යමර | රුදු | සභිරු
dangle,එල්ලී වැනෙනවා | එල්ලෙනවා
dani,ඩානි
danish,ඩෙන්මාර්කය හා සම්බන්ධ වූ
dank,ගොහොරු | තෙමී මඩ වූ
danseuse,නටන ස්ත්‍රී | නර්තකී
dapheneomancy,විදිපත් පූජාපේනය
daphne,ඩැනි නම් මල් ගස
daphnin,ඩැප්නින්
dapper,කඩිසර | සුරුබුහුටි
dapple,පුල්ලි යොදනවා | පුල්ලි වැටුණු | ලප සහිත
dappled,පුල්ලි වැටුණු | ලප සහිත
dare,අභියෝග කරනවා | තර්ජනය කරනවා | මිග කියනවා
daredevil,කිසිවකුට භය නැති | වගක් තුගක් නැති
daring,ගරුසරු නැති බව | ධෛර්යය | නිර්භීත | නිර්භීතකම | ප්‍රගල්භ | සහසි | සහසික | සාහසික
dariole,කුඩා බඳුනක පිළිගන්වන ප්‍රණීත ආහාරයක්
dark,අන්ධකාරය | අඳුරු | අප්‍රකට | කරුවළ | කළු | කළුවර | කාළ | කෘෂ්ණ | දුෂ්ට | වූ විට | සැකසහිත
dark-coloured,ශ්‍යාමප්‍රභා
dark-rigor,අඳුරු කාඨින්‍යය
darken,අඳුරු කරනවා | අඳුරු වෙනවා
darkening,අඳුරු කිරීම
darkly,අඳුරු ලෙස | අප්‍රකට ලෙස
darkness,අන්ධකාරය | අඳුර | ඇඳිරිය | කළුවර | තම | තමස | තිමිර
darky,කල්ලා
darling,දයාබර | ප්‍රේමවන්ත | වල්ලභයා | සුරතල් | සොඳුර
darn,එළලනවා | එළලූ තැන
darned,කාලකන්නි | මූසල
darnel,වල්පැලෑටිය
darning,එළලීම
darsonvalgalvanometer,ඩාසන්වල් ගැල්වනොමීටරය
dart,ඉක්මණින් ගමන් කරනවා | උල | තුඩ | විදිනවා | වීසි කරනවා | වේගයෙන් හෙළනවා | ශරය
darts,ක්‍රීඩාවක්
darwinian,ඩාවින්ගේ පරිණාමවාදයට අයත් පුද්ගලයා | ඩාවීනියානු
darwininsm,ඩාවින් වාදය
darwinism,ඩාවින් වාදය | ඩාවින්වාදය
dasein,තථ්‍යය
dash,ඉර | එකට හපා කඩනවා | ඩිංග | තෙයි | තේජස | මහත් වේගයෙන් ගසනවා | මහත් වේගයෙන් දුවනවා | මහත් වේගයෙන් වැටෙනවා | මහත් වේගයෙන් වැදෙනවා | මාත්තුව | රේඛාව | වේගයෙන් ගැසීම | වේගයෙන් දිවීම | වේගයෙන් හැපීම | සැහැසිකම | සුන් කරනවා | හැප්පෙනවා | හැපෙනවා
dash-board,උපකරණ පුවරුව
dashed,ඉලවු
dashing,උජාරු | කලබල සහිත | නිර්භීත
dashpot,ගටවිත
dastard,නිවටයා
dastardly,නිවට | නීඡ | බියගුලු
dasycladous,ඝනශාඛ
dasymeter,ඩාසිමීටරය
dasymetric,ඝණත්ව මිතික
dasyphyllous,ඝනපත්‍ර
data,ඉදිරිපත් කළ කරුණු | උපන්‍යාසය | දකු | දත්ත | දත්තය | නිර්දිෂ්ට දේ
database,පරිගණක දත්ත ගබඩාව
datamation,දත්ත සම්පාදනය
date,කාලය | තිථීය | දවහ | දාතම | දින දමනවා | දිනය | දිනය යොදනවා | නියම කරගත් කටයුත්ත | පටන්ගෙන පැවත එනවා | රට ඉඳි | රටඉඳි | හමුවීමට නියම කරගන්නවා
date-shaped,ඉඳි ඇට හැඩ
dated,දාතම දරන
dateless,දිනක් නැති | වරන්තන
dates,රටඉඳි
dating,කාල නිර්ණයනය | කාලනිර්ණය | දින නිර්ණායනය | දිනයනය | දිනැයුම
datiscin,ඩැටිසින්
dative,දත්ත | සම්ප්‍රදාන | සම්ප්‍රදාන විභක්තිය
datum,ආරම්භය | දකු | දත්ත | දත්තය | දතුව
daturine,ඩැටියුරින්
daub,ආලේප කරනවා | ආලේපය | ඉච්චා බස් | කල්කය | තවරනවා | තැවරුම | වකනවා
daughter,දුව | දුහිතෘ | දූ | ධීතෘ | පුත්‍රී
daughter-in-law,ලේලි
daughterly,දුවකු වැනි
daunt,කලකිරවනවා | පසුබට කරනවා | භය ගන්වනවා
dauntless,අප්‍රතිහත | නිර්භීත
dauphin,ප්‍රංශ රජුගේ වැඩිමහල් පුත්‍රයා
dauphiness,ප්‍රංශ රජුගේ වැඩිමහල් දියණිය
daviation,අපගමනය
davit,නැවේ ඔරු උස් පහත් කරන තිරිංකය
dawdle,කම්මැලිකමින් කාලය ගෙවනවා
dawn,අරුණ | අරුණ නැඟෙනවා | අරුණෝදය | අලුයම | උදා වෙනවා | උදාවීම | එළි වෙනවා | එළිදරවු වෙනවා | ක්‍රමයෙන් අවබෝධ වෙනවා | පාන් වෙනවා | පාන්දර | පායනවා
dawning,එළිදරව් කිරීම
day,දවස | දවහ | දවාල | දහවල් | දා | දාවල | දාවල් | දිවා | වකවානුව
day-after-tomrrow,අනිද්දා
day-before-yesterday,පළමුදා | පෙරෙයිදා | පෙරේදා
day-break,අලුයම
day-dreams,දවල් හීන | නිෂ්ඵල ආශාව
day-position,දිවා ඉරියව්ව
day-school,ශිෂ්‍ය නිවාසයක් නැති පාසැල
day-spring,අරුණෝදය
day-time,දිවාකාලය
dayak,ඩයක්
daydream,දවල් සිහිනය | නිස්සාර දේ
daylight,දිවා එළිය
daylighting,දිවා ආලෝකය
daymare,දිවා බීභත්සය
daytime,දිවා
daze,ඇස් අඳුරු කරනවා | ඇස් අඳුරු වෙනවා | තෝන්තු කරනවා | තෝන්තු වෙනවා | සිහි නැති කරනවා | සිහි නැති වෙනවා
dazzle,ගිනි කණ වැටෙනවා | මුළා කරනවා | මුළා වෙනවා
dazzling,අතිශය දීප්තිමත් | මුළා කරන
db,ඩෙසිබෙල
db.,ඩෙබ | ඩෙසිබලය
DC,සරල ධාරාව
de-air,නිවාතනය
de-classe,පන්ති පතිතයා
de-emphasis,නොඅවධාරණය
de-energising,විශක්ත්‍යායන
de-facto,තත්ත්වාකාර
de-humidification,ව්‍යාර්ද්‍රකරණය
de-ionization,ව්‍යයනීකරණය
de-jure,නීතිප්‍රකාර
deacon,උපද්ථායක | පල්ලියේ උපස්ථායකයා | පහත් පංක්තියේ දේවගැතියා
deaconess,උපස්ථායිකාව
deactivate,නිෂ්ක්‍රීය කරනවා
deactivation,වික්‍රිය කිරීම
dead,අජීව | අධිකව | අන්ධකාර අධික කාලය | අපගත | අප්‍රාණික | අලංකාරයක් නැති | ඔපයක් නැති | චුත | දිවංගත | නට | නැසීගිය | නීරස | නොවරදින | ප්‍රීතියක් නැති | මතක | මළ | මුළුමනින් | මෘත | ශීත අධික කාලය | සම්පූර්ණ | සහතික
dead-beat,අතිශයින් මහන්සි ඇති | අතිශ්‍රාන්ත | අධික වෙහෙසට පත්
deaden,අඩු කරනවා
deadline,නියමිත කාලය
deadlock,සම්පූර්ණ අවහිරය
deadly,අධික | භයානක | මරණීය | මාරක | මාරාන්තික
deadrochronclogy,දාරුකාලනිර්ණය
deaerator,නිර්වාතකය
deaf,බිහිරි | බීරි
deafen,බිහිරි කරනවා
deafening,කන් බිහිරි කරන
deafmute,ඒළමූගයා | බිහිරි ගොළුවා
deafness,බධිරතාව | බිහිරි බව
deal,කොටස | ගනුදෙනු කරනවා | ගනුදෙනුව | පංගුව | බෙදා දෙනවා | රාශිය | වෙළ හෙළඳාම් කරනවා | වෙළඳාම | හුඟ
dealcoholizing,ඇල්කොහොල් ඉවත් කිරීම
dealer,ගනුදෙනුකරු | බෙදා දෙන්නා | වෙළෙන්දා
dealing,ආශ්‍රය | ගනුදෙනුව
dealings,ගනුදෙනු
deamidation,ඇමයිඩ්හරණය
deamination,ඇමයින්හරණය
deammonification,ඇමෝනීහරණය
deammonobacteria,ඩිඇමොනොබැක්ටීරීයා
dean,නායක දේවගැතියා | පීඨාධිපති | විනේතෘ | විශ්වවිද්‍යාලයේ පීඨයක ප්‍රධානයා
deanery,නායක දේවගැතියාගේ පදිංවය
deanship,න් පදවිය
deanthropomorphism,මානවත්වාරෝපණ වියෝජනවාදය
deaquation,නිර්ජලකරණය
dear,අධික මිලට | අනේ | අහෝ | ආදරණීය | ඉටු | කදිම | දයාබර | ප්‍රිය | ප්‍රියයා | පින්වත් | මිල වැඩි | ලාභ නොවූ | වත්සල | වල්ලභ | ස්නේහවන්ත | සාදර | සුහද | හිතෛෂී | හුරතල්
dearly,ඉතා අමාරුවෙන් | මහත් ප්‍රේමයෙන් | මහත් මිල දී
dearness,ප්‍රියභාවය | මිල අධික බව | ළැදියාව
deassimiliation,අපවෘත්තිය
deassmble,නැවත සවිකිරිම
death,අභාවය | අස්තය | ඉළවුව | උළව්ව | චුතිය | ප්‍රාණත්‍යාගය | ප්‍රාණාන්තය | මර | මරණ | මරණය | මාර | මැරීම | මෘත්‍ය | යම | යමයා | වධය | වියොව | වියෝගය | හානිය
death-bed,මරණ මංචකය
death-bed-marriage,මරණ මංචක විවාහය
deathless,අමරණීය
deathly,මළාක් වැනි | මිනියක වැනි
deazotobacteria,ඩිඇසොටොබැක්ටීරියා
debacle,අන්ත පරාජය | මහත් විනාශය
debar,අවහිර කරනවා | තහනම් කරනවා | වළක්වනවා
debase,අගය අඩු කරනවා | නිවට බවට පමුණුවනවා | පහත් කරනවා | බාල කරනවා | හීන බවට පමුණුවනවා
debased,නීච | පහත් | බාල | වටීනාකමෙන් අඩු | හීන
debasement,පහත්බව
debatable,අවිනිශ්වත | තර්ක කළ හැකි | විවාදර්හ | විවාදශීලි | විවාදශීලී
debate,තර්ක කරනවා | තර්කය | පොරකනවා | පොරය | වාද | වාද කරනවා | වාදය | විවාදය
debater,වාදයෙහි දක්ෂයා
debating,වාදි | වාදී
debator,වාදක
debauch,දූෂ්‍ය කරනවා | සල්ලාලකම
debauchee,සල්ලාලයා
debauchery,සල්ලාලකම
debenture,ඩිබෙන්චරය | ණය ඔප්පුව | ණයකරය | සෘණකරය
debilitate,දුර්වල කරනවා | බෙලහීන කරනවා
debility,ගිලන්බව | දුර්වලකම
debit,ගෙවිය යුතු ණය | ණයතුරුස් | හර | හර කරනවා | හරකරනවා
debonair,ආචාරශීලී | ප්‍රියංකර | සුප්‍රසන්න
debossing,ඩිබොස් කිරීම
debouch,ගඟක් පටු තැනකින් ගලා බසිනවා
debouchment,නික්ම විහිදීම
debrief,විමසනවා
debris,කැබලි | ර්නාවශේෂ | සුන්බුන්
debt,අවශ්‍ය යුතුකම | ණය | තුරුස් | සෘණය
debtor,ණයකරු | ණයකරුවා | ණයකාරයා | ණයගැතියා | සංගාමීත්වය
debug,මකුණන් ඉවත් කරනවා
debugger,නිදොස්කරුව
debugging,නිදොස් කිරීම
debunk,බොරුව එළිදරවු කරනවා
debut,ආරම්භය | ප්‍රථම දර්ශනය | මංගලාවතරණය
debutante,කෝඩු තරුණිය
decadal,දශ අවුරුදු
decade,දශ අවුරුදු සීමාව | දශකය | දශාබ්දය | දසකය
decadence,දිරා යාම | නටබුන් වීම | පරිහානිය | පහත බැසීම
decadent,දිරූ
decagon,දශකෝණය | දශභුජය | දශාස්‍රය | දශාසුය | දහපට්ටම
